Sentence,Labels,POS,Words
সন্ধ্যায় পাখিরা বাসায় ফেরে,Simple,"['ক্রিয়া', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়']","['সন্ধ্যায়', 'পাখিরা', 'বাসায়', 'ফেরে']"
সন্ধ্যা হয় এবং পাখিরা বাসায় ফেরে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['সন্ধ্যা', 'হয়', 'এবং', 'পাখিরা', 'বাসায়', 'ফেরে']"
যখন সন্ধ্যা হয় তখন পাখিরা বাসায় ফেরে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সন্ধ্যা', 'হয়', 'তখন', 'পাখিরা', 'বাসায়', 'ফেরে']"
দর্শক মাত্রই আশ্চর্য হয়েছে,Simple,"['বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['দর্শক', 'মাত্রই', 'আশ্চর্য', 'হয়েছে']"
দেখেছে আর আশ্চর্য হয়েছে,Compound,"['ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['দেখেছে', 'আর', 'আশ্চর্য', 'হয়েছে']"
যে দেখেছে সেই আশ্চর্য হয়েছে,Complex,"['সর্বনাম', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যে', 'দেখেছে', 'সেই', 'আশ্চর্য', 'হয়েছে']"
পড়াশোনা করা ব্যক্তি জ্ঞানী,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ']","['পড়াশোনা', 'করা', 'ব্যক্তি', 'জ্ঞানী']"
সে পড়াশোনা করে এবং জ্ঞানী,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ']","['সে', 'পড়াশোনা', 'করে', 'এবং', 'জ্ঞানী']"
যে পড়াশোনা করে সেই জ্ঞানী,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ']","['যে', 'পড়াশোনা', 'করে', 'সেই', 'জ্ঞানী']"
অসুস্থ কিন্তু স্কুলে গেলে,Compound,"['বিশেষণ', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['অসুস্থ', 'কিন্তু', 'স্কুলে', 'গেলে']"
যদিও সে অসুস্থ তবুও স্কুলে গেল,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যদিও', 'সে', 'অসুস্থ', 'তবুও', 'স্কুলে', 'গেল']"
পরিশ্রম করে এবং জীবনে সফল হয়,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['পরিশ্রম', 'করে', 'এবং', 'জীবনে', 'সফল', 'হয়']"
